Id	FCend	FCnorm	Dem_1	Dem_2	Dem_3	Dem_4	socF_1	socF_2	socF_3	socF_4
298	0.7449	0	1	0.8	0.8	0.6	0.7984	0.7929	0.7875	0.782
299	0.7449	0	1	0.8	0.8	0.8	0.7984	0.7929	0.7875	0.782
300	0.7449	0	1	0.8	0.8	1	0.7984	0.7929	0.7875	0.782
301	0.7449	0	1	0.8	1	0.4	0.7984	0.7929	0.7875	0.782
302	0.7449	0	1	0.8	1	0.6	0.7984	0.7929	0.7875	0.782
303	0.7449	0	1	0.8	1	0.8	0.7984	0.7929	0.7875	0.782
304	0.7449	0	1	0.8	1	1	0.7984	0.7929	0.7875	0.782
305	0.7449	0	1	1	0.4	0.4	0.7984	0.7929	0.7875	0.782
306	0.7449	0	1	1	0.4	0.6	0.7984	0.7929	0.7875	0.782
307	0.7449	0	1	1	0.4	0.8	0.7984	0.7929	0.7875	0.782
308	0.7449	0	1	1	0.4	1	0.7984	0.7929	0.7875	0.782
309	0.7449	0	1	1	0.6	0.4	0.7984	0.7929	0.7875	0.782
310	0.7449	0	1	1	0.6	0.6	0.7984	0.7929	0.7875	0.782
311	0.7449	0	1	1	0.6	0.8	0.7984	0.7929	0.7875	0.782
312	0.7449	0	1	1	0.6	1	0.7984	0.7929	0.7875	0.782
313	0.7449	0	1	1	0.8	0.4	0.7984	0.7929	0.7875	0.782
314	0.7449	0	1	1	0.8	0.6	0.7984	0.7929	0.7875	0.782
315	0.7449	0	1	1	0.8	0.8	0.7984	0.7929	0.7875	0.782
316	0.7449	0	1	1	0.8	1	0.7984	0.7929	0.7875	0.782
317	0.7449	0	1	1	1	0.4	0.7984	0.7929	0.7875	0.782
318	0.7449	0	1	1	1	0.6	0.7984	0.7929	0.7875	0.782
319	0.7449	0	1	1	1	0.8	0.7984	0.7929	0.7875	0.782
320	0.7449	0	1	1	1	1	0.7984	0.7929	0.7875	0.782
321	1.109	0.0954	0	0.4	0.4	0.4	0.8	0.7945	0.7891	0.7836
322	1.109	0.0954	0	0.4	0.4	0.6	0.8	0.7945	0.7891	0.7836
323	1.109	0.0954	0	0.4	0.4	0.8	0.8	0.7945	0.7891	0.7836
324	1.109	0.0954	0	0.4	0.4	1	0.8	0.7945	0.7891	0.7836
325	1.109	0.0954	0	0.4	0.6	0.4	0.8	0.7945	0.7891	0.7836
326	1.109	0.0954	0	0.4	0.6	0.6	0.8	0.7945	0.7891	0.7836
