Id	FCend	FCnorm	Dem_1	Dem_2	Dem_3	Dem_4	Dem_5	Dem_6	socF_1	socF_2	socF_3	socF_4	socF_5	socF_6
127	51.6735	0.0068	0.8	0.6	0.6	0.6	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
128	51.6735	0.0068	0.8	0.6	0.6	0.6	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
129	51.6735	0.0068	0.8	0.6	0.6	0.6	1	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
130	51.6735	0.0068	0.8	0.6	0.6	0.8	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
131	51.6735	0.0068	0.8	0.6	0.6	0.8	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
132	51.6735	0.0068	0.8	0.6	0.6	0.8	1	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
133	51.6735	0.0068	0.8	0.6	0.6	1	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
134	51.6735	0.0068	0.8	0.6	0.6	1	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
135	51.6735	0.0068	0.8	0.6	0.6	1	1	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
136	51.6735	0.0068	1	0.6	0.6	0.6	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
137	51.6735	0.0068	1	0.6	0.6	0.6	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
138	51.6735	0.0068	1	0.6	0.6	0.6	1	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
139	51.6735	0.0068	1	0.6	0.6	0.8	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
140	51.6735	0.0068	1	0.6	0.6	0.8	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
141	51.6735	0.0068	1	0.6	0.6	0.8	1	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
142	51.6735	0.0068	1	0.6	0.6	1	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
143	51.6735	0.0068	1	0.6	0.6	1	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
144	51.6735	0.0068	1	0.6	0.6	1	1	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
145	51.9158	0.0086	0.4	0.8	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
146	51.9158	0.0086	0.4	0.8	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
147	51.9158	0.0086	0.4	0.8	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
148	51.9158	0.0086	0.4	0.8	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
149	51.9158	0.0086	0.4	0.8	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
150	51.9158	0.0086	0.4	0.8	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
151	51.9158	0.0086	0.4	0.8	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
152	51.9158	0.0086	0.4	0.8	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
153	51.9158	0.0086	0.4	0.8	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
154	51.9158	0.0086	0.4	1	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
155	51.9158	0.0086	0.4	1	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
156	51.9158	0.0086	0.4	1	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
157	51.9158	0.0086	0.4	1	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
158	51.9158	0.0086	0.4	1	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
159	51.9158	0.0086	0.4	1	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
160	51.9158	0.0086	0.4	1	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
161	51.9158	0.0086	0.4	1	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
162	51.9158	0.0086	0.4	1	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
163	51.9158	0.0086	0.6	0.8	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
164	51.9158	0.0086	0.6	0.8	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
165	51.9158	0.0086	0.6	0.8	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
166	51.9158	0.0086	0.6	0.8	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
167	51.9158	0.0086	0.6	0.8	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
168	51.9158	0.0086	0.6	0.8	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
169	51.9158	0.0086	0.6	0.8	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
170	51.9158	0.0086	0.6	0.8	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
171	51.9158	0.0086	0.6	0.8	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
172	51.9158	0.0086	0.6	1	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
173	51.9158	0.0086	0.6	1	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
174	51.9158	0.0086	0.6	1	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
175	51.9158	0.0086	0.6	1	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
176	51.9158	0.0086	0.6	1	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
177	51.9158	0.0086	0.6	1	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
178	51.9158	0.0086	0.6	1	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
179	51.9158	0.0086	0.6	1	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
180	51.9158	0.0086	0.6	1	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
181	51.9158	0.0086	0.8	0.8	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
182	51.9158	0.0086	0.8	0.8	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
183	51.9158	0.0086	0.8	0.8	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
184	51.9158	0.0086	0.8	0.8	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
185	51.9158	0.0086	0.8	0.8	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
186	51.9158	0.0086	0.8	0.8	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
187	51.9158	0.0086	0.8	0.8	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
188	51.9158	0.0086	0.8	0.8	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
189	51.9158	0.0086	0.8	0.8	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
190	51.9158	0.0086	0.8	1	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
191	51.9158	0.0086	0.8	1	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
192	51.9158	0.0086	0.8	1	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
193	51.9158	0.0086	0.8	1	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
194	51.9158	0.0086	0.8	1	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
195	51.9158	0.0086	0.8	1	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
196	51.9158	0.0086	0.8	1	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
197	51.9158	0.0086	0.8	1	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
198	51.9158	0.0086	0.8	1	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
199	51.9158	0.0086	1	0.8	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
200	51.9158	0.0086	1	0.8	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
201	51.9158	0.0086	1	0.8	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
202	51.9158	0.0086	1	0.8	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
203	51.9158	0.0086	1	0.8	0.2	0.8	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
204	51.9158	0.0086	1	0.8	0.2	0.8	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
205	51.9158	0.0086	1	0.8	0.2	1	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
206	51.9158	0.0086	1	0.8	0.2	1	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
207	51.9158	0.0086	1	0.8	0.2	1	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
208	51.9158	0.0086	1	1	0.2	0.6	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
209	51.9158	0.0086	1	1	0.2	0.6	0.8	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
210	51.9158	0.0086	1	1	0.2	0.6	1	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
211	51.9158	0.0086	1	1	0.2	0.8	0.6	0.4	0.7249	0.5897	0.5617	0.4247	0.2801	0.2031
